lever_id,supplier_id,lever,current_state,proposed_change,annual_savings,working_capital_impact,risk_impact,implementation_difficulty,negotiation_difficulty,confidence,owner,next_action,notes
LEV-001,SUP-MER,Open-book pricing,Bundled pricing with no cost breakdown; ~11% unexplained residual on DPS modules,Require partial open-book with material and labor visibility at the mid-2026 renewal,6750000.0,0.0,Reduces,Low,High,Medium,Procurement,Add transparency clause to the renewal draft,Contract expires 2026-06-30; renewal is the leverage point
LEV-002,SUP-MER,Safety-stock ownership,OEM funds 45 days of finished-goods safety stock at Meridian,Shift to EMS-funded 30 days consistent with market practice,0.0,9300000.0,Neutral,Medium,High,Medium,Procurement,Model cash impact and include in the renewal package,Cash release; small price adder likely
LEV-003,SUP-MER,NCNR liability window,90-day authorization and NCNR window,Reduce to 60 days aligned with Atlas terms,2700000.0,6750000.0,Reduces,Low,Medium,High,Supply Chain,Present the INV-015 excess event at the QBR,Excess exposure event already occurred
LEV-004,SUP-MER,Premium freight responsibility,OEM pays all expedite air freight on heavy boards,EMS pays expedites caused by EMS delivery misses,2100000.0,0.0,Reduces,Low,Medium,High,Supply Chain,Tie to OTD performance data,OTD at 90.5% vs 95% commitment; ~$520/board air premium
LEV-005,SUP-MER,Quality cost recovery,No yield commitment; OEM absorbs rework and warranty on DPS modules,Add FPY commitment of 92% with cost recovery below threshold,11250000.0,0.0,Reduces,Medium,High,Medium,Quality,Draft quality agreement addendum,FPY at 88% and trending down
LEV-006,SUP-ATL,Payment terms,Net 45,Extend to net 75 in exchange for a 0.6% price adjustment,-2850000.0,39000000.0,Neutral,Low,Medium,High,Ops Finance,Modeled as scenario SCN-003,Cash-focused; small P&L give
LEV-007,SUP-ATL,Consignment conversion,OEM consigns ASICs and standard long-lead components,Convert standard consigned components to EMS-owned until consumption; retain strategic ASIC consignment,0.0,15000000.0,Slightly increases,Medium,Medium,Medium,Ops Finance,Modeled as scenario SCN-003,Strategic pin-electronics and mmWave silicon stays consigned
LEV-008,SUP-ATL,Volume-tier commitment,Channel cards priced at tier 2; tier 3 requires a 2400-unit annual commitment,Commit multi-year volume to earn tier-3 pricing,8100000.0,0.0,Slightly increases,Low,Medium,High,Procurement,Model commitment risk vs the 300 per-unit tier-3 saving,1800 units x $300 if volume holds
LEV-009,SUP-PAC,Capacity reservation,450 units reserved at 260000 per year,Rightsize the reservation to dual-source scenario needs,1350000.0,0.0,Slightly increases,Low,Low,Medium,Supply Chain,Revisit after the SCN-004 decision,
LEV-010,SUP-PAC,Annual productivity,2.5% committed annual reduction,Hold; benchmark suggests 2.5-3% achievable on mature boards,0.0,0.0,Neutral,Low,Low,High,Procurement,Monitor at the annual price review,Already best-in-class
