scenario_id,product_id,supplier_id,site_id,allocation_pct
SCN-001,P-100,SUP-ATL,SITE-ATL-GDL,100
SCN-001,P-200,SUP-ATL,SITE-ATL-GDL,100
SCN-001,P-300,SUP-MER,SITE-MER-PEN,100
SCN-001,P-400,SUP-PAC,SITE-PAC-KAO,100
SCN-001,SA-110,SUP-ATL,SITE-ATL-GDL,100
SCN-001,SA-210,SUP-PAC,SITE-PAC-KAO,100
SCN-002,P-100,SUP-ATL,SITE-ATL-GDL,75
SCN-002,P-100,SUP-MER,SITE-MER-PEN,25
SCN-002,P-200,SUP-ATL,SITE-ATL-GDL,100
SCN-002,P-300,SUP-MER,SITE-MER-PEN,100
SCN-002,P-400,SUP-PAC,SITE-PAC-KAO,100
SCN-002,SA-110,SUP-ATL,SITE-ATL-GDL,100
SCN-002,SA-210,SUP-PAC,SITE-PAC-KAO,100
SCN-003,P-100,SUP-ATL,SITE-ATL-GDL,100
SCN-003,P-200,SUP-ATL,SITE-ATL-GDL,100
SCN-003,P-300,SUP-MER,SITE-MER-PEN,100
SCN-003,P-400,SUP-PAC,SITE-PAC-KAO,100
SCN-003,SA-110,SUP-ATL,SITE-ATL-GDL,100
SCN-003,SA-210,SUP-PAC,SITE-PAC-KAO,100
SCN-004,P-100,SUP-ATL,SITE-ATL-GDL,100
SCN-004,P-200,SUP-ATL,SITE-ATL-GDL,70
SCN-004,P-200,SUP-PAC,SITE-PAC-KAO,30
SCN-004,P-300,SUP-MER,SITE-MER-PEN,100
SCN-004,P-400,SUP-PAC,SITE-PAC-KAO,100
SCN-004,SA-110,SUP-ATL,SITE-ATL-GDL,100
SCN-004,SA-210,SUP-PAC,SITE-PAC-KAO,100
